name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Kelapa Gading,3600000000,3,3,21.428.571,Rumah Dijual,300,168,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20054049
Kelapa Gading,4100000000,5,4,26.797.386,Rumah Dijual,200,153,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20054413
Kelapa Gading,1700000000,3,2,18.888.889,Rumah Dijual,60,90,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20054608
Kelapa Gading,1900000000,6,3,12.666.667,Rumah Dijual,200,150,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20054658
Kelapa Gading,2200000000,4,2,19.642.857,Rumah Dijual,103,112,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20058927
Kelapa Gading,2500000000,5,3,16.666.667,Rumah Dijual,150,150,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20072403
Kelapa gading,3600000000,3,3,53.731.343,Rumah Dijual,135,67,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20072549
Kelapa Gading,3000000000,3,2,30.303.030,Rumah Dijual,99,99,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20072643
Kelapa Gading,10000000000,6,5,34.482.759,Rumah Dijual,400,290,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20072713
Kelapa Gading,2900000000,6,3,24.166.667,Rumah Dijual,180,120,,,2,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20073056
Kelapa Gading,1100000000,2,1,14.666.667,Rumah Dijual,50,75,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-franky-20073129
Kelapa gading,1400000000,2,1,20.000.000,Rumah Dijual,50,70,Tak Berperabot,,1,,2022-07-10,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-tari-20092126
Kelapa gading,1675000000,3,3,25.000.000,Rumah Dijual,100,67,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-henny-utomo-19220670
Kelapa Gading,4800000000,4,3,40.000.000,Rumah Dijual,200,120,,,1,,2022-06-27,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-yenli-20251796
